source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_alpha,state_name,state_ansi,county_name,county_code,asd_desc,year,freq_desc,reference_period_desc,begin_code,end_code,Value,CV_%
SURVEY,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"ALMONDS - YIELD, MEASURED IN BU / ACRE","CHEMICAL, HERBICIDE",NOT SPECIFIED,COUNTY,OH,OHIO,39,COUNTY 004,130,CENTRAL,2022,ANNUAL,APR,0,0,224.73,13.2
SURVEY,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,BU,"ALMONDS - PRODUCTION, MEASURED IN BU","CHEMICAL, HERBICIDE",NOT SPECIFIED,COUNTY,OH,OHIO,39,COUNTY 039,044,CENTRAL,2018,ANNUAL,OCT,0,0,0.98,18.0
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SOYBEANS - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE",NOT SPECIFIED,STATE,IA,IOWA,19,COUNTY 048,097,CENTRAL,2023,ANNUAL,OCT,0,0,184.81,23.4
SURVEY,CROPS,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"WHEAT - AREA HARVESTED, MEASURED IN ACRES",TOTAL,NOT SPECIFIED,STATE,SD,SOUTH DAKOTA,46,COUNTY 074,083,CENTRAL,2021,ANNUAL,OCT,0,0,154.85,4.9
SURVEY,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"ALMONDS - APPLICATIONS, MEASURED IN LB",TOTAL,NOT SPECIFIED,COUNTY,OH,OHIO,39,COUNTY 079,124,CENTRAL,2021,ANNUAL,JUL,0,0,230.43,24.3
CENSUS,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"ALMONDS - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE",NOT SPECIFIED,STATE,CA,CALIFORNIA,06,COUNTY 016,124,CENTRAL,2022,SEASON,YEAR,0,0,114.5,18.7
SURVEY,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"ALMONDS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,OH,OHIO,39,COUNTY 038,027,CENTRAL,2021,ANNUAL,YEAR,0,0,164.59,29.4
SURVEY,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"ALMONDS - TREATED, MEASURED IN ACRES","CHEMICAL, HERBICIDE",NOT SPECIFIED,COUNTY,WI,WISCONSIN,55,COUNTY 004,048,CENTRAL,2021,ANNUAL,APR,0,0,243.2,19.9
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"SOYBEANS - TREATED, MEASURED IN ACRES","CHEMICAL, HERBICIDE",NOT SPECIFIED,STATE,KS,KANSAS,20,COUNTY 004,094,CENTRAL,2019,ANNUAL,JAN,0,0,186.1,21.8
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"CORN - YIELD, MEASURED IN BU / ACRE","CHEMICAL, INSECTICIDE",NOT SPECIFIED,COUNTY,IL,ILLINOIS,17,COUNTY 027,007,CENTRAL,2018,ANNUAL,APR,0,0,17.31,6.7
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"CORN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,NE,NEBRASKA,31,COUNTY 086,155,CENTRAL,2023,ANNUAL,YEAR,0,0,42.3,23.3
SURVEY,CROPS,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"WHEAT - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,ND,NORTH DAKOTA,38,COUNTY 086,085,CENTRAL,2023,ANNUAL,JUL,0,0,205.45,3.3
SURVEY,CROPS,FIELD CROPS,COTTON,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"COTTON - TREATED, MEASURED IN ACRES","CHEMICAL, INSECTICIDE",NOT SPECIFIED,COUNTY,SD,SOUTH DAKOTA,46,COUNTY 017,199,CENTRAL,2019,ANNUAL,APR,0,0,84.03,20.0
CENSUS,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"CORN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,COUNTY,MN,MINNESOTA,27,COUNTY 098,112,CENTRAL,2023,ANNUAL,JAN,0,0,176.63,2.6
SURVEY,CROPS,FIELD CROPS,COTTON,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"COTTON - AREA HARVESTED, MEASURED IN ACRES","CHEMICAL, INSECTICIDE",NOT SPECIFIED,STATE,IN,INDIANA,18,COUNTY 096,089,CENTRAL,2019,ANNUAL,APR,0,0,175.11,4.3
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"CORN - AREA HARVESTED, MEASURED IN ACRES",TOTAL,NOT SPECIFIED,STATE,CA,CALIFORNIA,06,COUNTY 070,128,CENTRAL,2023,ANNUAL,OCT,0,0,248.43,4.1
CENSUS,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,BU,"CORN - PRODUCTION, MEASURED IN BU","CHEMICAL, HERBICIDE",NOT SPECIFIED,STATE,SD,SOUTH DAKOTA,46,COUNTY 054,018,CENTRAL,2021,SEASON,JAN,0,0,117.73,2.5
SURVEY,CROPS,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"WHEAT - AREA HARVESTED, MEASURED IN ACRES","CHEMICAL, INSECTICIDE",NOT SPECIFIED,COUNTY,NE,NEBRASKA,31,COUNTY 097,033,CENTRAL,2020,ANNUAL,OCT,0,0,184.59,10.3
SURVEY,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"ALMONDS - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE",NOT SPECIFIED,COUNTY,KS,KANSAS,20,COUNTY 008,161,CENTRAL,2018,ANNUAL,JUL,0,0,12.66,29.8
CENSUS,CROPS,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,BU,"WHEAT - PRODUCTION, MEASURED IN BU","CHEMICAL, HERBICIDE",NOT SPECIFIED,COUNTY,IL,ILLINOIS,17,COUNTY 053,096,CENTRAL,2020,ANNUAL,YEAR,0,0,115.92,11.1
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"CORN - AREA HARVESTED, MEASURED IN ACRES",TOTAL,NOT SPECIFIED,COUNTY,NE,NEBRASKA,31,COUNTY 005,122,CENTRAL,2021,ANNUAL,APR,0,0,47.08,23.1
SURVEY,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"ALMONDS - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE",NOT SPECIFIED,STATE,MN,MINNESOTA,27,COUNTY 069,025,CENTRAL,2022,SEASON,APR,0,0,210.22,4.8
SURVEY,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"ALMONDS - AREA HARVESTED, MEASURED IN ACRES","CHEMICAL, HERBICIDE",NOT SPECIFIED,STATE,IA,IOWA,19,COUNTY 047,142,CENTRAL,2019,ANNUAL,OCT,0,0,210.06,14.2
SURVEY,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"ALMONDS - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE",NOT SPECIFIED,COUNTY,IN,INDIANA,18,COUNTY 074,166,CENTRAL,2023,ANNUAL,OCT,0,0,59.47,6.4
SURVEY,CROPS,FIELD CROPS,COTTON,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"COTTON - YIELD, MEASURED IN BU / ACRE","CHEMICAL, INSECTICIDE",NOT SPECIFIED,COUNTY,IA,IOWA,19,COUNTY 040,166,CENTRAL,2023,SEASON,YEAR,0,0,79.91,6.6
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"CORN - APPLICATIONS, MEASURED IN LB",TOTAL,NOT SPECIFIED,COUNTY,TX,TEXAS,48,COUNTY 007,004,CENTRAL,2021,ANNUAL,APR,0,0,175.77,3.9
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE","CHEMICAL, HERBICIDE",NOT SPECIFIED,STATE,IL,ILLINOIS,17,COUNTY 012,108,CENTRAL,2023,ANNUAL,YEAR,0,0,184.7,13.5
SURVEY,CROPS,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"WHEAT - APPLICATIONS, MEASURED IN LB",TOTAL,NOT SPECIFIED,COUNTY,IN,INDIANA,18,COUNTY 094,190,CENTRAL,2021,ANNUAL,OCT,0,0,164.58,3.2
SURVEY,CROPS,FIELD CROPS,COTTON,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"COTTON - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE",NOT SPECIFIED,COUNTY,MN,MINNESOTA,27,COUNTY 025,082,CENTRAL,2020,ANNUAL,OCT,0,0,249.18,27.4
SURVEY,CROPS,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"WHEAT - AREA HARVESTED, MEASURED IN ACRES",TOTAL,NOT SPECIFIED,COUNTY,SD,SOUTH DAKOTA,46,COUNTY 028,010,CENTRAL,2022,ANNUAL,JAN,0,0,217.24,14.0
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SOYBEANS - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE",NOT SPECIFIED,STATE,ND,NORTH DAKOTA,38,COUNTY 043,035,CENTRAL,2019,ANNUAL,OCT,0,0,104.56,25.3
SURVEY,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"ALMONDS - AREA HARVESTED, MEASURED IN ACRES",TOTAL,NOT SPECIFIED,COUNTY,IN,INDIANA,18,COUNTY 077,099,CENTRAL,2023,ANNUAL,OCT,0,0,82.08,29.4
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"SOYBEANS - APPLICATIONS, MEASURED IN LB",TOTAL,NOT SPECIFIED,COUNTY,WI,WISCONSIN,55,COUNTY 047,104,CENTRAL,2022,ANNUAL,YEAR,0,0,149.41,20.7
SURVEY,CROPS,FIELD CROPS,WHEAT,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"WHEAT - TREATED, MEASURED IN ACRES","CHEMICAL, HERBICIDE",NOT SPECIFIED,COUNTY,SD,SOUTH DAKOTA,46,COUNTY 049,023,CENTRAL,2022,ANNUAL,JAN,0,0,204.5,27.1
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,BU,"SOYBEANS - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,STATE,SD,SOUTH DAKOTA,46,COUNTY 086,065,CENTRAL,2022,SEASON,JAN,0,0,119.1,4.9
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"CORN - AREA HARVESTED, MEASURED IN ACRES","CHEMICAL, HERBICIDE",NOT SPECIFIED,STATE,WI,WISCONSIN,55,COUNTY 054,082,CENTRAL,2018,ANNUAL,APR,0,0,184.55,25.1
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"SOYBEANS - AREA HARVESTED, MEASURED IN ACRES","CHEMICAL, INSECTICIDE",NOT SPECIFIED,COUNTY,TX,TEXAS,48,COUNTY 018,153,CENTRAL,2022,ANNUAL,JUL,0,0,5.28,8.9
CENSUS,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"CORN - YIELD, MEASURED IN BU / ACRE","CHEMICAL, INSECTICIDE",NOT SPECIFIED,STATE,CA,CALIFORNIA,06,COUNTY 027,181,CENTRAL,2021,ANNUAL,APR,0,0,231.5,14.7
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"SOYBEANS - TREATED, MEASURED IN ACRES","CHEMICAL, HERBICIDE",NOT SPECIFIED,COUNTY,KS,KANSAS,20,COUNTY 072,017,CENTRAL,2018,ANNUAL,APR,0,0,193.57,19.8
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"CORN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,IL,ILLINOIS,17,COUNTY 006,185,CENTRAL,2018,ANNUAL,APR,0,0,98.85,27.2
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"CORN - TREATED, MEASURED IN ACRES","CHEMICAL, INSECTICIDE",NOT SPECIFIED,STATE,IL,ILLINOIS,17,COUNTY 075,148,CENTRAL,2022,ANNUAL,JAN,0,0,96.31,27.4
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"SOYBEANS - TREATED, MEASURED IN ACRES","CHEMICAL, INSECTICIDE",NOT SPECIFIED,COUNTY,TX,TEXAS,48,COUNTY 093,128,CENTRAL,2023,ANNUAL,YEAR,0,0,26.17,3.7
SURVEY,CROPS,FIELD CROPS,COTTON,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"COTTON - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE",NOT SPECIFIED,COUNTY,IA,IOWA,19,COUNTY 069,153,CENTRAL,2023,SEASON,OCT,0,0,204.13,11.6
SURVEY,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"ALMONDS - YIELD, MEASURED IN BU / ACRE","CHEMICAL, HERBICIDE",NOT SPECIFIED,COUNTY,IA,IOWA,19,COUNTY 071,170,CENTRAL,2023,ANNUAL,JAN,0,0,192.27,24.0
CENSUS,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,BU,"ALMONDS - PRODUCTION, MEASURED IN BU","CHEMICAL, INSECTICIDE",NOT SPECIFIED,COUNTY,MN,MINNESOTA,27,COUNTY 022,173,CENTRAL,2023,ANNUAL,OCT,0,0,157.75,21.4
SURVEY,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"ALMONDS - TREATED, MEASURED IN ACRES","CHEMICAL, INSECTICIDE",NOT SPECIFIED,STATE,CA,CALIFORNIA,06,COUNTY 059,031,CENTRAL,2021,ANNUAL,OCT,0,0,25.81,1.8
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"CORN - TREATED, MEASURED IN ACRES","CHEMICAL, INSECTICIDE",NOT SPECIFIED,COUNTY,SD,SOUTH DAKOTA,46,COUNTY 047,065,CENTRAL,2023,ANNUAL,JUL,0,0,65.95,14.0
CENSUS,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"ALMONDS - AREA HARVESTED, MEASURED IN ACRES","CHEMICAL, INSECTICIDE",NOT SPECIFIED,STATE,OH,OHIO,39,COUNTY 068,180,CENTRAL,2019,ANNUAL,APR,0,0,115.0,25.0
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE",NOT SPECIFIED,COUNTY,OH,OHIO,39,COUNTY 032,080,CENTRAL,2022,ANNUAL,JUL,0,0,66.86,22.4
SURVEY,CROPS,FIELD CROPS,COTTON,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,BU,"COTTON - PRODUCTION, MEASURED IN BU","CHEMICAL, HERBICIDE",NOT SPECIFIED,STATE,IA,IOWA,19,COUNTY 083,092,CENTRAL,2018,ANNUAL,APR,0,0,108.78,12.9
CENSUS,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"SOYBEANS - TREATED, MEASURED IN ACRES",TOTAL,NOT SPECIFIED,STATE,TX,TEXAS,48,COUNTY 097,149,CENTRAL,2019,ANNUAL,JAN,0,0,56.88,22.3
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"SOYBEANS - AREA HARVESTED, MEASURED IN ACRES","CHEMICAL, INSECTICIDE",NOT SPECIFIED,STATE,CA,CALIFORNIA,06,COUNTY 001,030,CENTRAL,2023,ANNUAL,OCT,0,0,87.73,17.0
SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"CORN - YIELD, MEASURED IN BU / ACRE","CHEMICAL, HERBICIDE",NOT SPECIFIED,STATE,WI,WISCONSIN,55,COUNTY 054,123,CENTRAL,2019,ANNUAL,JUL,0,0,163.25,27.5
CENSUS,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"CORN - TREATED, MEASURED IN ACRES",TOTAL,NOT SPECIFIED,COUNTY,NE,NEBRASKA,31,COUNTY 046,131,CENTRAL,2018,ANNUAL,JAN,0,0,223.14,18.0
SURVEY,CROPS,FIELD CROPS,COTTON,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,AREA HARVESTED,ACRES,"COTTON - AREA HARVESTED, MEASURED IN ACRES",TOTAL,NOT SPECIFIED,COUNTY,ND,NORTH DAKOTA,38,COUNTY 041,070,CENTRAL,2023,ANNUAL,JAN,0,0,96.57,12.6
CENSUS,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"ALMONDS - YIELD, MEASURED IN BU / ACRE","CHEMICAL, INSECTICIDE",NOT SPECIFIED,COUNTY,CA,CALIFORNIA,06,COUNTY 041,171,CENTRAL,2019,ANNUAL,APR,0,0,173.13,26.0
SURVEY,CROPS,FIELD CROPS,COTTON,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,APPLICATIONS,LB,"COTTON - APPLICATIONS, MEASURED IN LB",TOTAL,NOT SPECIFIED,COUNTY,KS,KANSAS,20,COUNTY 008,029,CENTRAL,2021,ANNUAL,OCT,0,0,34.13,2.4
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE","CHEMICAL, HERBICIDE",NOT SPECIFIED,STATE,MN,MINNESOTA,27,COUNTY 032,003,CENTRAL,2021,ANNUAL,APR,0,0,135.43,27.1
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,TREATED,ACRES,"SOYBEANS - TREATED, MEASURED IN ACRES",TOTAL,NOT SPECIFIED,STATE,SD,SOUTH DAKOTA,46,COUNTY 030,186,CENTRAL,2022,ANNUAL,APR,0,0,230.47,21.2
SURVEY,CROPS,FIELD CROPS,ALMONDS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PRODUCTION,BU,"ALMONDS - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,STATE,KS,KANSAS,20,COUNTY 046,161,CENTRAL,2022,ANNUAL,JAN,0,0,7.47,28.3
SURVEY,CROPS,FIELD CROPS,SOYBEANS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,YIELD,BU / ACRE,"SOYBEANS - YIELD, MEASURED IN BU / ACRE","CHEMICAL, HERBICIDE",NOT SPECIFIED,STATE,SD,SOUTH DAKOTA,46,COUNTY 092,075,CENTRAL,2019,ANNUAL,APR,0,0,67.26,8.3
