PMID,ArticleTitle,AbstractText,Authors,DOI,Journal,PubDate_Year,PubDate_Month
30000013,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,Habitat fragmentation in Great Plains leads to reduced genetic diversity in native Apis mellifera populations. We analyzed 134 sampling sites over 10 years.,"Moore H, Martin F, Martinez C, Smith J, Wilson P",10.16240/pollinator.2018.3707,Ecology Letters,2014,12
30000014,Integrated Pest Management Benefits for Pollinator Health,A meta-analysis of 263 studies spanning 14 years demonstrates that imidacloprid negatively affects Bombus terrestris foraging behavior and navigation abilities.,"Garcia L, Williams R",10.17236/pollinator.2013.6343,Ecology Letters,2023,3
30000015,Sublethal Neonicotinoid Effects on Solitary Bees,A meta-analysis of 108 studies spanning 14 years demonstrates that thiamethoxam negatively affects Osmia lignaria foraging behavior and navigation abilities.,"Taylor S, Johnson A, Garcia L, Anderson T",10.19740/pollinator.2018.4558,Ecology Letters,2017,4
30000016,Long-Term Trends in Pollinator Abundance and Pesticide Use,A meta-analysis of 212 studies spanning 3 years demonstrates that thiamethoxam negatively affects Apis mellifera foraging behavior and navigation abilities.,"Lee W, Moore H, Anderson T, Martinez C",10.17574/pollinator.2018.3883,Journal of Applied Ecology,2016,8
30000017,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Field trials in Southern US show that integrated pest management reduces Bombus terrestris mortality by 45% compared to conventional glyphosate application schedules.,"Martin F, Jackson B, Taylor S",10.12119/pollinator.2013.7306,Science of the Total Environment,2019,10
30000018,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Long-term monitoring of native bumblebee populations in Eastern Seaboard reveals significant population declines linked to neonicotinoid application rates. We recommend immediate policy intervention.,"Martinez C, Lee W, Garcia L, Jones K, Anderson T",10.17431/pollinator.2015.7108,Nature Ecology & Evolution,2014,11
30000019,Pesticide Impact on Honeybee Colony Health,Residues of organophosphate found in pollen samples correlate with increased mortality in Osmia lignaria. Lethal dose thresholds were exceeded in 47% of tested fields.,"Thomas D, Moore H, Smith J, Martinez C",10.17213/pollinator.2011.6687,Journal of Applied Ecology,2020,12
30000020,Integrated Pest Management Benefits for Pollinator Health,Field trials in Midwest US show that integrated pest management reduces Megachile rotundata mortality by 54% compared to conventional glyphosate application schedules.,"Garcia L, Wilson P, Moore H, Smith J",10.14864/pollinator.2015.6135,"Agriculture, Ecosystems & Environment",2024,7
30000021,Genetic Diversity of Pollinators in Fragmented Habitats,"Climate change shifts the phenology of flowering plants in Eastern Seaboard, disrupting Osmia lignaria pollination networks. Mean bloom date advanced by 5 days per decade.","Jones K, Lee W, Martinez C, Thomas D, Smith J",10.12146/pollinator.2016.3096,Ecology Letters,2016,11
30000022,Integrated Pest Management Benefits for Pollinator Health,Long-term monitoring of native bumblebee populations in Great Plains reveals significant population declines linked to clothianidin application rates. We recommend immediate policy intervention.,"Martinez C, Moore H",10.19922/pollinator.2018.8106,Nature Ecology & Evolution,2010,8
30000023,Integrated Pest Management Benefits for Pollinator Health,Urban gardens in Great Plains provide crucial refuge for Bombus terrestris amidst surrounding agricultural monocultures. Species richness was 274x higher in garden plots.,"Taylor S, Lee W, Thomas D",10.18195/pollinator.2023.7794,Ecology Letters,2020,5
30000024,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,This study evaluates the impact of neonicotinoid exposure on Osmia lignaria colonies across Southern US. Results indicate a 15% decline in colony health metrics over the study period.,"Moore H, Williams R, Anderson T, Martin F, Taylor S",10.13566/pollinator.2012.9107,Science of the Total Environment,2024,7
30000025,Pesticide Impact on Honeybee Colony Health,Urban gardens in Great Plains provide crucial refuge for Bombus impatiens amidst surrounding agricultural monocultures. Species richness was 100x higher in garden plots.,"Garcia L, Williams R, Lee W, Thomas D",10.18022/pollinator.2010.3824,"Agriculture, Ecosystems & Environment",2016,7
30000026,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,Field trials in Midwest US show that integrated pest management reduces Bombus terrestris mortality by 57% compared to conventional organophosphate application schedules.,"Anderson T, Garcia L, Wilson P, Jackson B, Johnson A",10.18842/pollinator.2022.5451,Ecology Letters,2018,8
30000027,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Field trials in Midwest US show that integrated pest management reduces Bombus impatiens mortality by 40% compared to conventional neonicotinoid application schedules.,"Williams R, Taylor S, Moore H, Anderson T, Martinez C",10.13705/pollinator.2018.2569,Environmental Science & Technology,2022,2
30000028,Pesticide Impact on Honeybee Colony Health,This study evaluates the impact of clothianidin exposure on Megachile rotundata colonies across Great Plains. Results indicate a 53% decline in colony health metrics over the study period.,"Moore H, Garcia L, Jackson B, Wilson P, Martinez C",10.16421/pollinator.2013.2151,Journal of Applied Ecology,2022,2
30000029,Genetic Diversity of Pollinators in Fragmented Habitats,Field trials in Midwest US show that integrated pest management reduces Osmia lignaria mortality by 36% compared to conventional organophosphate application schedules.,"Martinez C, Garcia L, Williams R, Johnson A",10.17466/pollinator.2014.1969,Nature Ecology & Evolution,2017,6
30000030,Urban Pollinator Conservation: A Garden Ecology Study,Field trials in Midwest US show that integrated pest management reduces Bombus impatiens mortality by 34% compared to conventional organophosphate application schedules.,"Martin F, Moore H",10.11091/pollinator.2017.1475,PNAS,2022,2
30000031,Pesticide Impact on Honeybee Colony Health,Long-term monitoring of Megachile rotundata populations in Central Valley CA reveals significant population declines linked to organophosphate application rates. We recommend immediate policy intervention.,"Jones K, Johnson A, Williams R",10.15788/pollinator.2022.2256,Ecology Letters,2023,2
30000032,Sublethal Neonicotinoid Effects on Solitary Bees,Long-term monitoring of Osmia lignaria populations in Great Plains reveals significant population declines linked to neonicotinoid application rates. We recommend immediate policy intervention.,"Thomas D, Martinez C, Jones K, Taylor S",10.19464/pollinator.2017.9351,Nature Ecology & Evolution,2016,10
30000033,Long-Term Trends in Pollinator Abundance and Pesticide Use,"Climate change shifts the phenology of flowering plants in Southern US, disrupting native bumblebee pollination networks. Mean bloom date advanced by 8 days per decade.","Wilson P, Brown M",10.17755/pollinator.2022.9214,"Agriculture, Ecosystems & Environment",2021,2
30000034,Urban Pollinator Conservation: A Garden Ecology Study,Field trials in Pacific Northwest show that integrated pest management reduces Apis mellifera mortality by 30% compared to conventional clothianidin application schedules.,"Moore H, Thomas D, Wilson P, Smith J",10.15069/pollinator.2024.4587,Ecology Letters,2021,2
30000035,Sublethal Neonicotinoid Effects on Solitary Bees,Urban gardens in Southern US provide crucial refuge for Apis mellifera amidst surrounding agricultural monocultures. Species richness was 112x higher in garden plots.,"Wilson P, Jackson B, Martin F, Moore H, Anderson T",10.17298/pollinator.2017.7191,Science of the Total Environment,2014,9
30000036,Genetic Diversity of Pollinators in Fragmented Habitats,Long-term monitoring of native bumblebee populations in Southern US reveals significant population declines linked to thiamethoxam application rates. We recommend immediate policy intervention.,"Williams R, Garcia L",10.18612/pollinator.2010.5763,Environmental Science & Technology,2023,4
30000037,Long-Term Trends in Pollinator Abundance and Pesticide Use,A meta-analysis of 72 studies spanning 3 years demonstrates that glyphosate negatively affects Bombus impatiens foraging behavior and navigation abilities.,"Jones K, Brown M, Lee W, Taylor S, Moore H",10.16117/pollinator.2021.8444,Science of the Total Environment,2011,4
30000038,Long-Term Trends in Pollinator Abundance and Pesticide Use,A meta-analysis of 137 studies spanning 17 years demonstrates that neonicotinoid negatively affects Osmia lignaria foraging behavior and navigation abilities.,"Brown M, Anderson T, Martin F, Moore H",10.13456/pollinator.2017.5470,Environmental Science & Technology,2023,8
30000039,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,"Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Megachile rotundata pollination networks. Mean bloom date advanced by 7 days per decade.","Brown M, Williams R",10.16276/pollinator.2020.5958,Nature Ecology & Evolution,2013,4
30000040,Long-Term Trends in Pollinator Abundance and Pesticide Use,Urban gardens in Pacific Northwest provide crucial refuge for Bombus terrestris amidst surrounding agricultural monocultures. Species richness was 78x higher in garden plots.,"Martin F, Wilson P, Lee W, Johnson A, Williams R",10.19773/pollinator.2017.7478,Science of the Total Environment,2011,8
30000041,Integrated Pest Management Benefits for Pollinator Health,Long-term monitoring of Bombus impatiens populations in Eastern Seaboard reveals significant population declines linked to glyphosate application rates. We recommend immediate policy intervention.,"Jackson B, Garcia L, Williams R, Anderson T, Brown M",10.19576/pollinator.2011.4066,PNAS,2013,2
30000042,Urban Pollinator Conservation: A Garden Ecology Study,Habitat fragmentation in Midwest US leads to reduced genetic diversity in native Bombus impatiens populations. We analyzed 488 sampling sites over 14 years.,"Taylor S, Lee W, Anderson T, Jackson B, Brown M",10.12717/pollinator.2024.5020,Journal of Applied Ecology,2012,6
30000043,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Field trials in Great Plains show that integrated pest management reduces Megachile rotundata mortality by 53% compared to conventional thiamethoxam application schedules.,"Smith J, Williams R, Martin F",10.18003/pollinator.2023.5267,Journal of Applied Ecology,2014,5
30000044,Genetic Diversity of Pollinators in Fragmented Habitats,Long-term monitoring of Osmia lignaria populations in Southern US reveals significant population declines linked to organophosphate application rates. We recommend immediate policy intervention.,"Garcia L, Johnson A, Thomas D, Martin F",10.19440/pollinator.2014.1934,Journal of Applied Ecology,2013,8
30000045,Integrated Pest Management Benefits for Pollinator Health,Field trials in Central Valley CA show that integrated pest management reduces Osmia lignaria mortality by 48% compared to conventional thiamethoxam application schedules.,"Martinez C, Anderson T, Thomas D, Garcia L",10.14939/pollinator.2014.5507,Environmental Science & Technology,2020,11
30000046,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Field trials in Eastern Seaboard show that integrated pest management reduces Bombus terrestris mortality by 58% compared to conventional thiamethoxam application schedules.,"Martin F, Anderson T, Thomas D",10.12380/pollinator.2014.1210,PNAS,2011,10
30000047,Urban Pollinator Conservation: A Garden Ecology Study,Long-term monitoring of Megachile rotundata populations in Pacific Northwest reveals significant population declines linked to clothianidin application rates. We recommend immediate policy intervention.,"Brown M, Martin F, Thomas D, Johnson A",10.12773/pollinator.2015.1710,PNAS,2013,4
30000048,Sublethal Neonicotinoid Effects on Solitary Bees,Long-term monitoring of Apis mellifera populations in Great Plains reveals significant population declines linked to neonicotinoid application rates. We recommend immediate policy intervention.,"Brown M, Jones K",10.18895/pollinator.2024.3218,Environmental Science & Technology,2015,4
30000049,Pesticide Impact on Honeybee Colony Health,Habitat fragmentation in Great Plains leads to reduced genetic diversity in native native bumblebee populations. We analyzed 209 sampling sites over 17 years.,"Anderson T, Moore H, Williams R, Garcia L",10.12692/pollinator.2022.7662,"Agriculture, Ecosystems & Environment",2016,5
30000050,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Habitat fragmentation in Pacific Northwest leads to reduced genetic diversity in native Osmia lignaria populations. We analyzed 228 sampling sites over 8 years.,"Brown M, Martinez C, Martin F",10.16835/pollinator.2020.2261,Science of the Total Environment,2011,7
30000051,Urban Pollinator Conservation: A Garden Ecology Study,Long-term monitoring of Apis mellifera populations in Midwest US reveals significant population declines linked to organophosphate application rates. We recommend immediate policy intervention.,"Thomas D, Moore H, Anderson T, Jones K, Taylor S",10.13517/pollinator.2019.2174,Journal of Applied Ecology,2024,6
30000052,Integrated Pest Management Benefits for Pollinator Health,Habitat fragmentation in Great Plains leads to reduced genetic diversity in native Bombus terrestris populations. We analyzed 22 sampling sites over 7 years.,"Moore H, Smith J, Thomas D",10.19085/pollinator.2015.5049,PNAS,2023,3
30000053,Long-Term Trends in Pollinator Abundance and Pesticide Use,"Climate change shifts the phenology of flowering plants in Great Plains, disrupting Bombus terrestris pollination networks. Mean bloom date advanced by 4 days per decade.","Martinez C, Smith J, Wilson P",10.12668/pollinator.2023.5034,"Agriculture, Ecosystems & Environment",2014,1
30000054,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,"Climate change shifts the phenology of flowering plants in Southern US, disrupting Megachile rotundata pollination networks. Mean bloom date advanced by 3 days per decade.","Jones K, Brown M, Jackson B, Martinez C",10.14876/pollinator.2015.8410,PNAS,2013,11
30000055,Long-Term Trends in Pollinator Abundance and Pesticide Use,Residues of clothianidin found in pollen samples correlate with increased mortality in Bombus terrestris. Lethal dose thresholds were exceeded in 45% of tested fields.,"Garcia L, Brown M",10.13198/pollinator.2012.5097,Environmental Science & Technology,2022,8
30000056,Sublethal Neonicotinoid Effects on Solitary Bees,Long-term monitoring of native bumblebee populations in Eastern Seaboard reveals significant population declines linked to neonicotinoid application rates. We recommend immediate policy intervention.,"Taylor S, Jones K",10.16498/pollinator.2015.5185,"Agriculture, Ecosystems & Environment",2023,6
30000057,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,Long-term monitoring of native bumblebee populations in Central Valley CA reveals significant population declines linked to neonicotinoid application rates. We recommend immediate policy intervention.,"Jones K, Lee W, Martinez C, Jackson B",10.19852/pollinator.2023.1825,Journal of Applied Ecology,2010,7
30000058,Pesticide Impact on Honeybee Colony Health,Field trials in Pacific Northwest show that integrated pest management reduces Bombus terrestris mortality by 28% compared to conventional thiamethoxam application schedules.,"Moore H, Brown M, Anderson T",10.18729/pollinator.2017.1702,Journal of Applied Ecology,2015,3
30000059,Integrated Pest Management Benefits for Pollinator Health,This study evaluates the impact of glyphosate exposure on native bumblebee colonies across Great Plains. Results indicate a 57% decline in colony health metrics over the study period.,"Jackson B, Martinez C",10.15067/pollinator.2024.2773,Environmental Science & Technology,2014,2
30000060,Long-Term Trends in Pollinator Abundance and Pesticide Use,Urban gardens in Pacific Northwest provide crucial refuge for Megachile rotundata amidst surrounding agricultural monocultures. Species richness was 411x higher in garden plots.,"Taylor S, Anderson T",10.16816/pollinator.2015.7489,PNAS,2016,11
30000061,Long-Term Trends in Pollinator Abundance and Pesticide Use,"Climate change shifts the phenology of flowering plants in Central Valley CA, disrupting Osmia lignaria pollination networks. Mean bloom date advanced by 3 days per decade.","Taylor S, Jackson B",10.17027/pollinator.2011.3035,PNAS,2011,1
30000062,Pesticide Impact on Honeybee Colony Health,Habitat fragmentation in Central Valley CA leads to reduced genetic diversity in native Megachile rotundata populations. We analyzed 485 sampling sites over 13 years.,"Williams R, Thomas D, Smith J, Anderson T",10.13749/pollinator.2018.6994,"Agriculture, Ecosystems & Environment",2019,8
30000063,Integrated Pest Management Benefits for Pollinator Health,Urban gardens in Eastern Seaboard provide crucial refuge for native bumblebee amidst surrounding agricultural monocultures. Species richness was 84x higher in garden plots.,"Martin F, Jackson B",10.14286/pollinator.2023.6860,Nature Ecology & Evolution,2022,6
30000064,Pesticide Impact on Honeybee Colony Health,Residues of thiamethoxam found in pollen samples correlate with increased mortality in Megachile rotundata. Lethal dose thresholds were exceeded in 50% of tested fields.,"Moore H, Thomas D, Anderson T, Smith J, Wilson P",10.13864/pollinator.2017.9893,PNAS,2013,4
30000065,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Residues of imidacloprid found in pollen samples correlate with increased mortality in Osmia lignaria. Lethal dose thresholds were exceeded in 32% of tested fields.,"Williams R, Brown M, Jackson B, Johnson A",10.12363/pollinator.2015.5318,Environmental Science & Technology,2013,12
30000066,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,Residues of neonicotinoid found in pollen samples correlate with increased mortality in native bumblebee. Lethal dose thresholds were exceeded in 24% of tested fields.,"Johnson A, Moore H, Martin F",10.18406/pollinator.2024.8880,PNAS,2019,1
30000067,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,Long-term monitoring of Bombus terrestris populations in Great Plains reveals significant population declines linked to organophosphate application rates. We recommend immediate policy intervention.,"Martin F, Martinez C, Williams R",10.18824/pollinator.2017.6238,Journal of Applied Ecology,2019,10
30000068,Urban Pollinator Conservation: A Garden Ecology Study,"Climate change shifts the phenology of flowering plants in Great Plains, disrupting Megachile rotundata pollination networks. Mean bloom date advanced by 10 days per decade.","Jackson B, Moore H, Brown M",10.11378/pollinator.2020.9984,Journal of Applied Ecology,2023,8
30000069,Pesticide Impact on Honeybee Colony Health,This study evaluates the impact of organophosphate exposure on native bumblebee colonies across Central Valley CA. Results indicate a 30% decline in colony health metrics over the study period.,"Jones K, Williams R, Jackson B",10.13107/pollinator.2015.7992,Journal of Applied Ecology,2020,5
30000070,Integrated Pest Management Benefits for Pollinator Health,Long-term monitoring of Megachile rotundata populations in Pacific Northwest reveals significant population declines linked to thiamethoxam application rates. We recommend immediate policy intervention.,"Anderson T, Jackson B",10.15730/pollinator.2021.1926,Ecology Letters,2013,7
30000071,Long-Term Trends in Pollinator Abundance and Pesticide Use,Habitat fragmentation in Great Plains leads to reduced genetic diversity in native Megachile rotundata populations. We analyzed 207 sampling sites over 13 years.,"Jones K, Smith J, Thomas D, Jackson B",10.19389/pollinator.2022.3298,Ecology Letters,2024,7
30000072,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Residues of neonicotinoid found in pollen samples correlate with increased mortality in native bumblebee. Lethal dose thresholds were exceeded in 35% of tested fields.,"Johnson A, Wilson P, Taylor S, Lee W",10.11181/pollinator.2011.7517,Environmental Science & Technology,2012,2
30000073,Integrated Pest Management Benefits for Pollinator Health,Habitat fragmentation in Central Valley CA leads to reduced genetic diversity in native native bumblebee populations. We analyzed 113 sampling sites over 10 years.,"Smith J, Johnson A",10.17293/pollinator.2011.4672,PNAS,2019,2
30000074,Sublethal Neonicotinoid Effects on Solitary Bees,A meta-analysis of 291 studies spanning 12 years demonstrates that organophosphate negatively affects Bombus terrestris foraging behavior and navigation abilities.,"Jackson B, Garcia L, Wilson P, Martin F",10.11362/pollinator.2016.8634,Journal of Applied Ecology,2011,2
30000075,Long-Term Trends in Pollinator Abundance and Pesticide Use,Long-term monitoring of Bombus impatiens populations in Great Plains reveals significant population declines linked to organophosphate application rates. We recommend immediate policy intervention.,"Garcia L, Johnson A, Thomas D, Moore H, Lee W",10.19547/pollinator.2018.4008,Science of the Total Environment,2020,5
30000076,Pesticide Impact on Honeybee Colony Health,A meta-analysis of 98 studies spanning 10 years demonstrates that glyphosate negatively affects Megachile rotundata foraging behavior and navigation abilities.,"Smith J, Johnson A, Williams R, Martin F",10.17104/pollinator.2011.2105,Journal of Applied Ecology,2013,2
30000077,Genetic Diversity of Pollinators in Fragmented Habitats,Field trials in Southern US show that integrated pest management reduces Osmia lignaria mortality by 13% compared to conventional thiamethoxam application schedules.,"Moore H, Martinez C, Jones K, Williams R, Smith J",10.12864/pollinator.2011.9775,Ecology Letters,2024,3
30000078,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,A meta-analysis of 203 studies spanning 9 years demonstrates that glyphosate negatively affects Megachile rotundata foraging behavior and navigation abilities.,"Johnson A, Smith J",10.19724/pollinator.2016.2305,"Agriculture, Ecosystems & Environment",2021,4
30000079,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,Field trials in Great Plains show that integrated pest management reduces native bumblebee mortality by 64% compared to conventional glyphosate application schedules.,"Jackson B, Lee W, Williams R, Brown M",10.15004/pollinator.2023.5689,Nature Ecology & Evolution,2019,4
30000080,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Long-term monitoring of Osmia lignaria populations in Pacific Northwest reveals significant population declines linked to imidacloprid application rates. We recommend immediate policy intervention.,"Brown M, Thomas D, Martin F",10.13761/pollinator.2010.4350,Ecology Letters,2018,2
30000081,Integrated Pest Management Benefits for Pollinator Health,A meta-analysis of 111 studies spanning 15 years demonstrates that organophosphate negatively affects Osmia lignaria foraging behavior and navigation abilities.,"Jackson B, Wilson P, Moore H, Martinez C",10.19646/pollinator.2021.5007,Environmental Science & Technology,2018,8
30000082,Long-Term Trends in Pollinator Abundance and Pesticide Use,Urban gardens in Southern US provide crucial refuge for native bumblebee amidst surrounding agricultural monocultures. Species richness was 382x higher in garden plots.,"Wilson P, Martinez C, Taylor S",10.11217/pollinator.2013.8555,Ecology Letters,2016,4
30000083,Pesticide Impact on Honeybee Colony Health,This study evaluates the impact of neonicotinoid exposure on native bumblebee colonies across Central Valley CA. Results indicate a 62% decline in colony health metrics over the study period.,"Brown M, Taylor S, Thomas D",10.12589/pollinator.2013.1119,Science of the Total Environment,2019,10
30000084,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,Field trials in Midwest US show that integrated pest management reduces Megachile rotundata mortality by 56% compared to conventional clothianidin application schedules.,"Smith J, Brown M",10.19117/pollinator.2023.2113,Environmental Science & Technology,2023,8
30000085,Urban Pollinator Conservation: A Garden Ecology Study,A meta-analysis of 104 studies spanning 17 years demonstrates that neonicotinoid negatively affects native bumblebee foraging behavior and navigation abilities.,"Anderson T, Thomas D, Johnson A, Jones K",10.13316/pollinator.2022.2197,Journal of Applied Ecology,2017,8
30000086,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,A meta-analysis of 85 studies spanning 16 years demonstrates that thiamethoxam negatively affects Bombus terrestris foraging behavior and navigation abilities.,"Williams R, Taylor S, Thomas D, Moore H, Martin F",10.11381/pollinator.2017.5634,Nature Ecology & Evolution,2016,11
30000087,Integrated Pest Management Benefits for Pollinator Health,Habitat fragmentation in Southern US leads to reduced genetic diversity in native Bombus impatiens populations. We analyzed 297 sampling sites over 9 years.,"Taylor S, Garcia L, Jones K, Martinez C, Brown M",10.14494/pollinator.2014.6554,"Agriculture, Ecosystems & Environment",2010,4
30000088,Integrated Pest Management Benefits for Pollinator Health,"Climate change shifts the phenology of flowering plants in Eastern Seaboard, disrupting Apis mellifera pollination networks. Mean bloom date advanced by 8 days per decade.","Jones K, Lee W, Brown M",10.18854/pollinator.2012.4734,"Agriculture, Ecosystems & Environment",2019,3
30000089,Meta-Analysis of Pesticide Effects on Bee Foraging Behavior,Long-term monitoring of native bumblebee populations in Midwest US reveals significant population declines linked to clothianidin application rates. We recommend immediate policy intervention.,"Thomas D, Johnson A, Jones K, Wilson P",10.16157/pollinator.2020.8961,"Agriculture, Ecosystems & Environment",2021,10
30000090,Sublethal Neonicotinoid Effects on Solitary Bees,A meta-analysis of 61 studies spanning 13 years demonstrates that glyphosate negatively affects Bombus impatiens foraging behavior and navigation abilities.,"Taylor S, Smith J, Martinez C",10.17631/pollinator.2014.2031,Environmental Science & Technology,2013,9
30000091,Urban Pollinator Conservation: A Garden Ecology Study,Residues of thiamethoxam found in pollen samples correlate with increased mortality in Bombus terrestris. Lethal dose thresholds were exceeded in 21% of tested fields.,"Williams R, Thomas D, Brown M",10.18141/pollinator.2018.2735,"Agriculture, Ecosystems & Environment",2016,3
30000092,Integrated Pest Management Benefits for Pollinator Health,Habitat fragmentation in Eastern Seaboard leads to reduced genetic diversity in native Bombus impatiens populations. We analyzed 346 sampling sites over 18 years.,"Taylor S, Jackson B, Lee W, Moore H, Smith J",10.18060/pollinator.2023.3540,Ecology Letters,2016,11
30000093,Genetic Diversity of Pollinators in Fragmented Habitats,"Climate change shifts the phenology of flowering plants in Eastern Seaboard, disrupting Osmia lignaria pollination networks. Mean bloom date advanced by 6 days per decade.","Lee W, Johnson A",10.15827/pollinator.2023.7362,Journal of Applied Ecology,2015,3
30000094,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,Residues of organophosphate found in pollen samples correlate with increased mortality in Apis mellifera. Lethal dose thresholds were exceeded in 14% of tested fields.,"Smith J, Wilson P",10.12209/pollinator.2018.2063,PNAS,2010,3
30000095,Long-Term Trends in Pollinator Abundance and Pesticide Use,Habitat fragmentation in Eastern Seaboard leads to reduced genetic diversity in native Megachile rotundata populations. We analyzed 69 sampling sites over 6 years.,"Martin F, Wilson P, Garcia L, Anderson T",10.17368/pollinator.2019.7828,PNAS,2015,10
30000096,Genetic Diversity of Pollinators in Fragmented Habitats,Urban gardens in Southern US provide crucial refuge for Bombus terrestris amidst surrounding agricultural monocultures. Species richness was 436x higher in garden plots.,"Martin F, Smith J, Anderson T, Taylor S",10.13829/pollinator.2011.6761,PNAS,2010,1
30000097,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,"Climate change shifts the phenology of flowering plants in Southern US, disrupting Bombus impatiens pollination networks. Mean bloom date advanced by 7 days per decade.","Wilson P, Moore H, Thomas D, Smith J",10.14391/pollinator.2013.7354,Environmental Science & Technology,2021,7
30000098,Phenological Shifts in Plant-Pollinator Networks Under Climate Change,Field trials in Great Plains show that integrated pest management reduces Apis mellifera mortality by 42% compared to conventional clothianidin application schedules.,"Williams R, Martin F, Jackson B, Anderson T, Lee W",10.11057/pollinator.2012.2852,Journal of Applied Ecology,2016,5
