ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME
USW0020943,20200529,TMIN,23,,,K,1800
USW0020943,20200529,TMAX,191,,,W,0700
USW0020943,20200601,TMAX,11,,,W,1800
USW0020943,20200601,SNOW,12,,,X,1800
USW0020943,20200608,SNOW,6,,,X,0800
USW0020943,20200608,TMAX,124,,,X,1700
USW0020943,20200608,SNWD,51,,,W,0700
USW0020943,20200609,SNOW,1,,,7,1800
USW0020943,20200609,TMAX,209,,,7,
USW0020943,20200609,TMIN,111,,,W,0800
USW0020943,20200609,PRCP,52,,,W,1800
USW0020943,20200610,TMAX,317,,,7,0700
USW0020943,20200610,SNOW,0,,,W,0700
USW0020943,20200610,SNWD,5,,,K,1800
USW0020943,20200610,PRCP,31,,,X,
USW0020943,20200617,SNWD,21,,,N,0700
USW0020943,20200617,PRCP,33,,,N,
USW0020943,20200617,SNOW,5,,,W,1800
USW0020943,20200619,TMAX,258,,,X,0800
USW0020943,20200619,SNWD,4,,,7,1700
USW0020943,20200625,SNWD,17,,,W,0700
USW0020943,20200625,TMIN,28,,,W,
USW0020943,20200625,PRCP,8,,,7,0800
USW0020943,20200625,SNOW,8,,,K,0700
USW0020943,20200627,SNWD,63,,,K,0700
USW0020943,20200627,TMAX,166,,,7,1800
USW0020943,20200627,SNOW,0,,,W,0700
USW0020943,20200629,TMAX,270,,,X,
USW0020943,20200629,SNOW,10,,,W,1700
USW0020943,20200629,TMIN,-40,,,N,1800
USW0020943,20200629,SNWD,78,,,K,1800
USW0020943,20200708,SNWD,46,,,K,0800
USW0020943,20200708,TMIN,75,,,K,1800
USW0020943,20200708,PRCP,52,,,K,
USW0020943,20200712,TMIN,60,,,X,0700
USW0020943,20200712,SNOW,1,,,N,0700
USW0020943,20200713,TMIN,94,,,N,1700
USW0020943,20200713,PRCP,15,,,N,
USW0020943,20200713,SNOW,2,,,X,0800
USW0020943,20200721,SNWD,18,,,K,0700
USW0020943,20200721,PRCP,3,,,X,
USW0020943,20200721,SNOW,13,,,K,
USW0020943,20200721,TMAX,188,,,K,1700
USW0020943,20200724,PRCP,12,,,W,1800
USW0020943,20200724,TMIN,48,,,7,0800
USW0020943,20200805,PRCP,0,,,N,0800
USW0020943,20200805,SNOW,0,,,W,
USW0020943,20200809,PRCP,17,,,X,
USW0020943,20200809,SNOW,6,,,K,0800
USW0020943,20200810,SNOW,4,,,N,0700
USW0020943,20200810,SNWD,13,,,W,0800
USW0020943,20200810,TMAX,216,,,K,1800
USW0020943,20200811,TMAX,-4,,,W,1700
USW0020943,20200811,PRCP,5,,,X,0700
USW0020943,20200819,SNOW,15,,,X,0800
USW0020943,20200819,SNWD,4,,,W,
USW0020943,20200819,PRCP,24,,,X,
USW0020943,20200819,TMAX,288,,,7,1700
USW0020943,20200820,TMAX,248,,,W,0700
USW0020943,20200820,PRCP,20,,,7,1800
USW0020943,20200820,SNWD,0,,,X,0700
USW0020943,20200822,SNWD,34,,,K,1700
USW0020943,20200822,SNOW,0,,,N,0800
USW0020943,20200822,TMAX,195,,,7,1800
USW0020943,20200824,TMAX,42,,,K,0800
USW0020943,20200824,SNOW,6,,,7,0700
USW0020943,20200824,TMIN,18,,,7,1800
USW0020943,20200824,PRCP,72,,,K,0800
USW0020943,20200826,TMIN,-41,,,W,0700
USW0020943,20200826,SNOW,2,,,X,1700
USW0020943,20200826,PRCP,7,,,X,1800
USW0020943,20200828,SNWD,43,,,7,0800
USW0020943,20200828,PRCP,10,,,7,
USW0020943,20200828,TMIN,174,,,7,1700
USW0020943,20200828,SNOW,1,,,N,
USW0020943,20200901,TMIN,6,,,K,0700
USW0020943,20200901,PRCP,19,,,W,1800
USW0020943,20200903,TMIN,17,,,N,0700
USW0020943,20200903,SNOW,2,,,X,1700
USW0020943,20200905,SNOW,30,,,K,0700
USW0020943,20200905,SNWD,0,,,W,0700
USW0020943,20200905,TMAX,227,,,N,0800
USW0020943,20200905,PRCP,5,,,W,0800
USW0020943,20200906,SNOW,12,,,7,1800
USW0020943,20200906,SNWD,3,,,7,1700
USW0020943,20200909,SNOW,5,,,W,
USW0020943,20200909,TMAX,278,,,W,1700
USW0020943,20200909,TMIN,127,,,X,0700
USW0020943,20200909,SNWD,5,,,N,1800
USW0020943,20200911,SNOW,8,,,X,0800
USW0020943,20200911,SNWD,21,,,N,
USW0020943,20200913,TMIN,170,,,7,1800
USW0020943,20200913,TMAX,199,,,7,0700
USW0020943,20200917,SNWD,27,,,7,1700
USW0020943,20200917,TMAX,94,,,X,
USW0020943,20200918,SNOW,15,,,K,1700
USW0020943,20200918,TMAX,252,,,K,0800
USW0020943,20200920,SNWD,12,,,X,
USW0020943,20200920,TMAX,134,,,K,1800
USW0020943,20200920,TMIN,28,,,X,0800
USW0020943,20200920,SNOW,1,,,W,0800
USW0020943,20200922,TMIN,6,,,W,0700
USW0020943,20200922,SNOW,10,,,X,0800
USW0020943,20200922,PRCP,42,,,W,0800
USW0020943,20200922,TMAX,241,,,X,0800
USW0020943,20200923,TMIN,-8,,,K,
USW0020943,20200923,TMAX,215,,,W,
USW0020943,20200924,TMAX,175,,,7,0800
USW0020943,20200924,SNWD,29,,,7,
USW0020943,20200924,SNOW,17,,,W,
USW0020943,20200924,TMIN,141,,,K,1700
USW0020943,20200926,PRCP,6,,,X,
USW0020943,20200926,SNWD,10,,,W,0700
USW0020943,20200930,TMAX,330,,,K,1700
USW0020943,20200930,TMIN,140,,,7,
USW0020943,20200930,PRCP,26,,,N,0700
USW0020943,20201001,TMIN,-69,,,K,1700
USW0020943,20201001,PRCP,4,,,7,1800
USW0020943,20201001,TMAX,216,,,W,0700
USW0020943,20201001,SNOW,1,,,K,1700
USW0020943,20201003,TMAX,3,,,W,1800
USW0020943,20201003,SNOW,8,,,X,0800
USW0020943,20201003,SNWD,17,,,W,0800
USW0020943,20201003,PRCP,7,,,W,
USW0020943,20201004,PRCP,17,,,K,0800
USW0020943,20201004,TMIN,-9,,,7,1700
USW0020943,20201004,SNWD,23,,,K,
USW0020943,20201005,SNWD,1,,,W,0800
USW0020943,20201005,SNOW,7,,,N,0700
USW0020943,20201005,TMIN,184,,,N,
USW0020943,20201013,PRCP,37,,,W,
USW0020943,20201013,SNWD,5,,,W,0700
USW0020943,20201013,TMAX,223,,,7,0800
USW0020943,20201014,TMAX,159,,,7,
USW0020943,20201014,SNWD,3,,,7,0800
USW0020943,20201014,SNOW,18,,,W,1700
USW0020943,20201015,SNWD,15,,,K,1800
USW0020943,20201015,TMIN,50,,,N,0700
USW0020943,20201015,PRCP,25,,,7,0700
USW0020943,20201017,TMIN,131,,,7,
USW0020943,20201017,SNWD,77,,,K,0800
USW0020943,20201017,TMAX,351,,,W,1700
USW0020943,20201021,SNWD,3,,,N,1800
USW0020943,20201021,SNOW,5,,,7,1700
USW0020943,20201021,TMIN,68,,,N,1700
USW0020943,20201021,TMAX,242,,,N,1800
USW0020943,20201022,SNWD,36,,,X,1800
USW0020943,20201022,PRCP,41,,,7,1700
USW0020943,20201022,TMIN,70,,,W,1800
USW0020943,20201027,SNWD,9,,,X,0700
USW0020943,20201027,SNOW,5,,,7,1700
USW0020943,20201027,PRCP,25,,,K,0700
USW0020943,20201027,TMIN,182,,,7,1800
USW0020943,20201031,SNWD,63,,,7,0800
USW0020943,20201031,TMAX,149,,,N,0800
USW0020943,20201102,SNWD,39,,,X,0800
USW0020943,20201102,PRCP,14,,,7,0700
USW0020943,20201102,TMIN,-2,,,W,1700
USW0020943,20201107,SNWD,3,,,7,
USW0020943,20201107,PRCP,1,,,N,0700
USW0020943,20201107,SNOW,19,,,X,0800
USW0020943,20201118,TMIN,21,,,7,1700
USW0020943,20201118,TMAX,106,,,X,1800
USW0020943,20201118,SNWD,11,,,N,
USW0020943,20201118,PRCP,30,,,K,1800
USW0020943,20201119,TMIN,136,,,N,0800
USW0020943,20201119,SNOW,3,,,X,0800
USW0020943,20201125,PRCP,30,,,N,0700
USW0020943,20201125,SNOW,2,,,W,0800
USW0020943,20201125,TMAX,263,,,W,1800
USW0020943,20201125,TMIN,-39,,,7,0700
USW0020943,20201129,SNWD,2,,,K,
USW0020943,20201129,PRCP,31,,,W,0700
USW0020943,20201129,SNOW,0,,,W,0800
USW0020943,20201209,TMIN,40,,,N,1700
USW0020943,20201209,SNOW,7,,,X,0700
USW0020943,20201209,SNWD,3,,,N,1800
USW0020943,20201212,PRCP,3,,,X,1700
USW0020943,20201212,SNWD,19,,,K,0800
USW0020943,20201212,TMIN,194,,,X,0700
USW0020943,20201214,SNOW,0,,,N,0800
USW0020943,20201214,PRCP,6,,,N,0800
USW0020943,20201214,TMAX,168,,,W,0800
USW0020943,20201214,TMIN,79,,,K,
USW0020943,20201217,SNOW,23,,,7,1700
USW0020943,20201217,TMIN,56,,,X,
USW0020943,20201219,SNOW,6,,,7,1700
USW0020943,20201219,PRCP,79,,,7,0800
USW0020943,20201219,TMIN,32,,,N,
USW0020943,20201219,SNWD,0,,,W,
USW0020943,20201224,TMAX,297,,,7,1800
USW0020943,20201224,SNOW,3,,,X,
USW0020943,20201224,SNWD,14,,,W,
USW0020943,20201224,TMIN,82,,,W,0700
USW0020943,20201227,SNOW,8,,,K,0800
USW0020943,20201227,TMIN,60,,,7,1700
USW0020943,20201228,TMAX,275,,,K,
USW0020943,20201228,PRCP,14,,,N,1800
USW0020943,20201228,SNOW,14,,,W,0800
USW0020943,20201228,SNWD,12,,,K,0800
USW0020943,20201229,TMAX,231,,,X,0800
USW0020943,20201229,PRCP,45,,,X,
USW0020943,20201230,SNOW,7,,,W,
USW0020943,20201230,PRCP,0,,,X,
USW0020943,20201230,TMAX,278,,,K,0700
USW0020943,20210109,SNOW,3,,,K,0800
USW0020943,20210109,TMAX,290,,,X,
USW0020943,20210115,TMAX,307,,,N,0700
USW0020943,20210115,SNWD,51,,,W,
USW0020943,20210115,SNOW,1,,,7,
USW0020943,20210115,TMIN,152,,,X,
USW0020943,20210118,PRCP,102,,,X,0800
USW0020943,20210118,SNWD,24,,,X,
USW0020943,20210118,TMIN,-39,,,W,
USW0020943,20210118,SNOW,0,,,K,1700
USW0020943,20210119,SNWD,2,,,X,
USW0020943,20210119,TMIN,87,,,K,0700
USW0020943,20210119,PRCP,11,,,N,0700
USW0020943,20210119,SNOW,1,,,X,1800
USW0020943,20210120,SNOW,7,,,N,
USW0020943,20210120,TMIN,148,,,X,1800
USW0020943,20210122,TMAX,144,,,X,0700
USW0020943,20210122,PRCP,2,,,K,
USW0020943,20210125,PRCP,50,,,N,1700
USW0020943,20210125,TMAX,270,,,7,0700
USW0020943,20210126,PRCP,10,,,7,1800
USW0020943,20210126,TMIN,40,,,X,0800
USW0020943,20210126,SNWD,26,,,X,
USW0020943,20210126,SNOW,0,,,7,1800
USW0020943,20210201,TMIN,130,,,7,0800
USW0020943,20210201,TMAX,322,,,X,1800
USW0020943,20210201,SNWD,16,,,X,
USW0020943,20210201,PRCP,41,,,7,
USW0020943,20210205,SNWD,26,,,W,
USW0020943,20210205,TMIN,83,,,N,1700
USW0020943,20210205,SNOW,7,,,N,1700
USW0020943,20210205,TMAX,207,,,K,0700
USW0020943,20210209,SNWD,4,,,W,0700
USW0020943,20210209,TMIN,-59,,,W,1700
USW0020943,20210211,TMIN,-23,,,W,0800
USW0020943,20210211,PRCP,12,,,X,0800
USW0020943,20210211,SNWD,13,,,W,0700
USW0020943,20210216,PRCP,0,,,W,1700
USW0020943,20210216,SNWD,4,,,7,
USW0020943,20210216,TMIN,124,,,7,
USW0020943,20210216,SNOW,5,,,7,0800
USW0020943,20210228,SNWD,47,,,K,1700
USW0020943,20210228,PRCP,91,,,X,0700
USW0020943,20210228,TMIN,-22,,,X,1800
USW0020943,20210228,TMAX,156,,,W,0700
USW0020943,20210303,TMIN,84,,,7,
USW0020943,20210303,PRCP,7,,,N,1800
USW0020943,20210303,SNWD,5,,,N,1800
USW0020943,20210303,SNOW,2,,,N,0800
USW0020943,20210305,TMIN,102,,,K,0700
USW0020943,20210305,PRCP,15,,,K,1700
USW0020943,20210305,SNOW,4,,,X,1800
USW0020943,20210307,TMAX,169,,,7,
USW0020943,20210307,PRCP,74,,,7,1800
USW0020943,20210316,TMIN,-93,,,W,1700
USW0020943,20210316,SNWD,32,,,7,
USW0020943,20210316,SNOW,3,,,N,0800
USW0020943,20210316,TMAX,230,,,7,0700
USW0020943,20210320,TMAX,112,,,K,0800
USW0020943,20210320,SNOW,4,,,W,0800
USW0020943,20210320,SNWD,41,,,X,
USW0020943,20210324,SNOW,0,,,N,
USW0020943,20210324,PRCP,5,,,K,1800
USW0020943,20210324,TMIN,37,,,X,0800
USW0020943,20210324,SNWD,25,,,X,1800
USW0020943,20210328,SNOW,2,,,7,
USW0020943,20210328,SNWD,5,,,X,1700
USW0020943,20210328,TMAX,71,,,N,1800
USW0020943,20210328,PRCP,22,,,N,1700
USW0020943,20210329,TMAX,229,,,W,0800
USW0020943,20210329,SNWD,1,,,X,0800
USW0020943,20210329,TMIN,107,,,7,0800
USW0020943,20210329,PRCP,30,,,N,1700
USW0020943,20210410,TMIN,12,,,X,0700
USW0020943,20210410,TMAX,215,,,X,
USW0020943,20210410,PRCP,3,,,X,0800
USW0020943,20210410,SNWD,6,,,W,1700
USW0020943,20210413,SNWD,13,,,N,0700
USW0020943,20210413,PRCP,0,,,N,1700
USW0020943,20210414,PRCP,14,,,W,0800
USW0020943,20210414,SNOW,1,,,X,1800
USW0020943,20210422,SNOW,8,,,X,0800
USW0020943,20210422,SNWD,36,,,X,1800
USW0020943,20210423,TMIN,40,,,K,1700
USW0020943,20210423,SNWD,8,,,N,1700
USW0020943,20210423,SNOW,13,,,K,1800
USW0020943,20210428,TMIN,48,,,W,0800
USW0020943,20210428,TMAX,169,,,W,1700
USW0020943,20210429,SNWD,0,,,N,0700
USW0020943,20210429,SNOW,24,,,X,1700
USW0020943,20210429,TMIN,29,,,K,
USW0020943,20210429,TMAX,161,,,W,0700
USW0020943,20210502,SNOW,19,,,7,1700
USW0020943,20210502,PRCP,4,,,N,0800
USW0020943,20210504,TMIN,-98,,,W,1800
USW0020943,20210504,SNWD,3,,,W,
USW0020943,20210504,PRCP,10,,,X,0700
USW0020943,20210504,SNOW,0,,,7,
USW0020943,20210506,SNOW,2,,,7,
USW0020943,20210506,TMAX,165,,,X,
USW0020943,20210506,TMIN,120,,,N,0800
USW0020943,20210507,TMIN,160,,,N,1700
USW0020943,20210507,SNOW,1,,,W,0700
USW0020943,20210507,SNWD,12,,,W,1800
USW0020943,20210515,TMIN,13,,,N,0800
USW0020943,20210515,PRCP,8,,,7,1800
USW0020943,20210515,SNOW,29,,,X,0700
USW0020943,20210515,SNWD,16,,,7,1700
USW0020943,20210518,TMAX,143,,,X,0800
USW0020943,20210518,SNOW,40,,,K,0700
USW0020943,20210521,TMAX,174,,,N,1800
USW0020943,20210521,PRCP,30,,,X,0700
USW0020943,20210521,SNOW,19,,,7,0700
USW0020943,20210527,PRCP,1,,,X,1800
USW0020943,20210527,TMIN,85,,,7,1700
USW0020943,20210528,PRCP,1,,,N,1700
USW0020943,20210528,SNOW,7,,,7,0700
USW0020943,20210528,SNWD,8,,,7,
USW0020943,20210528,TMIN,17,,,7,0700
USW0020943,20210529,SNWD,63,,,K,
USW0020943,20210529,TMAX,221,,,7,
USW0020943,20210529,PRCP,68,,,X,1700
USW0020943,20210607,SNOW,25,,,X,1700
USW0020943,20210607,TMAX,115,,,K,0700
USW0020943,20210607,TMIN,131,,,W,
USW0020943,20210607,PRCP,46,,,N,1800
USW0020943,20210609,TMIN,-36,,,K,0800
USW0020943,20210609,SNWD,9,,,7,0700
USW0020943,20210609,PRCP,3,,,W,0800
USW0020943,20210612,TMIN,58,,,K,1800
USW0020943,20210612,PRCP,54,,,W,0700
USW0020943,20210612,SNWD,43,,,7,1800
USW0020943,20210615,PRCP,29,,,W,
USW0020943,20210615,TMIN,74,,,X,0700
USW0020943,20210619,SNOW,13,,,N,1800
USW0020943,20210619,TMIN,19,,,X,1700
USW0020943,20210620,SNOW,0,,,7,
USW0020943,20210620,SNWD,5,,,X,1700
USW0020943,20210626,PRCP,1,,,K,
USW0020943,20210626,SNOW,29,,,W,1700
USW0020943,20210627,TMIN,103,,,X,0700
USW0020943,20210627,TMAX,218,,,X,1800
USW0020943,20210705,TMAX,119,,,X,0700
USW0020943,20210705,TMIN,112,,,W,0700
USW0020943,20210705,SNWD,80,,,K,
USW0020943,20210705,PRCP,10,,,W,1800
USW0020943,20210707,PRCP,53,,,X,0700
USW0020943,20210707,TMAX,188,,,7,1700
USW0020943,20210707,TMIN,15,,,7,1700
USW0020943,20210707,SNWD,20,,,7,
USW0020943,20210715,TMIN,19,,,X,
USW0020943,20210715,PRCP,13,,,7,1700
USW0020943,20210715,TMAX,98,,,X,0700
USW0020943,20210717,SNOW,26,,,W,1700
USW0020943,20210717,SNWD,79,,,K,1800
USW0020943,20210717,TMIN,47,,,N,
USW0020943,20210717,TMAX,275,,,K,
USW0020943,20210722,TMAX,296,,,X,1800
USW0020943,20210722,SNWD,75,,,N,1700
USW0020943,20210722,TMIN,38,,,7,
USW0020943,20210723,PRCP,21,,,W,0800
USW0020943,20210723,TMIN,-22,,,N,1800
USW0020943,20210723,TMAX,243,,,W,1800
USW0020943,20210804,SNWD,6,,,X,1800
USW0020943,20210804,TMIN,20,,,K,1800
USW0020943,20210806,SNOW,13,,,W,
USW0020943,20210806,TMAX,198,,,K,
USW0020943,20210806,PRCP,8,,,X,1700
USW0020943,20210808,SNWD,6,,,7,0800
USW0020943,20210808,PRCP,5,,,W,
USW0020943,20210808,TMAX,154,,,X,
USW0020943,20210811,SNOW,3,,,7,0700
USW0020943,20210811,SNWD,13,,,W,1800
USW0020943,20210811,TMIN,-92,,,X,1800
USW0020943,20210812,SNWD,18,,,W,1800
USW0020943,20210812,SNOW,5,,,X,
USW0020943,20210813,TMAX,255,,,X,1700
USW0020943,20210813,TMIN,-33,,,W,0700
USW0020943,20210813,SNWD,23,,,7,0700
USW0020943,20210828,TMIN,11,,,K,1800
USW0020943,20210828,PRCP,2,,,X,0700
USW0020943,20210828,SNOW,33,,,7,0700
USW0020943,20210828,TMAX,102,,,N,
USW0020943,20210829,TMIN,-40,,,7,
USW0020943,20210829,SNWD,9,,,7,
USW0020943,20210830,TMIN,137,,,W,1700
USW0020943,20210830,SNWD,1,,,W,1700
USW0020943,20210830,PRCP,4,,,K,0800
USW0020943,20210831,SNOW,3,,,K,
USW0020943,20210831,PRCP,22,,,X,0700
USW0020943,20210831,SNWD,6,,,7,0700
USW0020943,20210901,SNWD,51,,,X,0800
USW0020943,20210901,PRCP,71,,,W,
USW0020943,20210901,TMAX,256,,,7,0800
USW0020943,20210901,SNOW,14,,,K,1800
USW0020943,20210903,PRCP,1,,,N,
USW0020943,20210903,SNWD,13,,,N,0800
USW0020943,20210907,TMIN,-61,,,7,1800
USW0020943,20210907,PRCP,88,,,W,
USW0020943,20210907,SNWD,12,,,K,1700
USW0020943,20210907,TMAX,306,,,X,0800
USW0020943,20210910,TMIN,251,,,K,
USW0020943,20210910,PRCP,13,,,N,
USW0020943,20210910,SNOW,16,,,N,0700
USW0020943,20210911,TMIN,46,,,N,
USW0020943,20210911,TMAX,259,,,7,
USW0020943,20210911,SNWD,6,,,N,1800
USW0020943,20210913,SNWD,5,,,K,0700
USW0020943,20210913,PRCP,316,,,N,1800
USW0020943,20210913,TMAX,313,,,K,1700
USW0020943,20210913,SNOW,10,,,W,
USW0020943,20210917,TMAX,260,,,N,1800
USW0020943,20210917,TMIN,82,,,N,0800
USW0020943,20210919,SNWD,38,,,K,0700
USW0020943,20210919,TMIN,112,,,K,0800
USW0020943,20210919,TMAX,137,,,7,1700
USW0020943,20210919,PRCP,29,,,7,1700
USW0020943,20210924,SNWD,15,,,X,1700
USW0020943,20210924,PRCP,65,,,N,1800
USW0020943,20210924,TMIN,71,,,K,0700
USW0020943,20210925,SNOW,1,,,W,
USW0020943,20210925,TMIN,-12,,,K,0700
USW0020943,20210925,SNWD,5,,,W,1800
USW0020943,20210925,TMAX,216,,,K,1800
USW0020943,20211005,SNWD,6,,,N,
USW0020943,20211005,TMIN,-6,,,7,0700
USW0020943,20211005,TMAX,298,,,N,1800
USW0020943,20211005,SNOW,25,,,K,
USW0020943,20211007,PRCP,64,,,W,0700
USW0020943,20211007,SNWD,3,,,X,0700
USW0020943,20211007,SNOW,16,,,W,0700
USW0020943,20211007,TMAX,375,,,X,0800
USW0020943,20211017,TMAX,296,,,7,1800
USW0020943,20211017,PRCP,23,,,7,0800
USW0020943,20211018,TMAX,102,,,K,1800
USW0020943,20211018,TMIN,27,,,W,0700
USW0020943,20211018,SNWD,7,,,7,1800
USW0020943,20211021,PRCP,16,,,7,1700
USW0020943,20211021,SNWD,4,,,7,1800
USW0020943,20211021,SNOW,3,,,N,0800
USW0020943,20211021,TMAX,313,,,7,
USW0020943,20211028,SNWD,35,,,N,1800
USW0020943,20211028,PRCP,50,,,N,
USW0020943,20211029,SNWD,2,,,W,0700
USW0020943,20211029,TMAX,62,,,N,0700
USW0020943,20211030,TMIN,4,,,X,1700
USW0020943,20211030,TMAX,261,,,N,1700
USW0020943,20211030,SNOW,37,,,N,0800
USW0020943,20211030,SNWD,22,,,X,0700
USW0020943,20211101,TMAX,256,,,K,
USW0020943,20211101,PRCP,9,,,7,0800
USW0020943,20211101,SNOW,43,,,X,1800
USW0020943,20211110,TMAX,321,,,N,
USW0020943,20211110,SNWD,14,,,K,1700
USW0020943,20211110,TMIN,88,,,N,
USW0020943,20211110,SNOW,2,,,K,
USW0020943,20211115,TMIN,130,,,N,1700
USW0020943,20211115,TMAX,181,,,X,0700
