h3_index,year,month,obs_count,total_pollinators,species_richness,PRCP,SNOW,SNWD,TMAX,TMIN,avg_crop_val,merged_abstracts,image_path
862602037ffffff,2021,6,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,This study evaluates the impact of clothianidin exposure on Osmia lignaria colonies across Central Valley CA. Results indicate a 28% decline in colony health metrics over the study period.,0
8626020cfffffff,2022,6,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Urban gardens in Eastern Seaboard provide crucial refuge for native bumblebee amidst surrounding agricultural monocultures. Species richness was 84x higher in garden plots.,0
862602337ffffff,2023,12,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,A meta-analysis of 318 studies spanning 7 years demonstrates that imidacloprid negatively affects Osmia lignaria foraging behavior and navigation abilities. Residues of neonicotinoid found in pollen samples correlate with increased mortality in Megachile rotundata. Lethal dose thresholds were exceeded in 9% of tested fields. Habitat fragmentation in Pacific Northwest leads to reduced genetic diversity in native Megachile rotundata populations. We analyzed 343 sampling sites over 13 years. Residues of organophosphate found in pollen samples correlate with increased mortality in native bumblebee. Lethal dose thresholds were exceeded in 36% of tested fields. Residues of imidacloprid found in pollen samples correlate with increased mortality in native bumblebee. Lethal dose thresholds were exceeded in 54% of tested fields.,0
862602617ffffff,2020,10,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,"Climate change shifts the phenology of flowering plants in Southern US, disrupting Megachile rotundata pollination networks. Mean bloom date advanced by 9 days per decade.",0
862602c0fffffff,2021,3,1,25,1,0.0,0.0,0.0,0.0,0.0,0.0,This study evaluates the impact of imidacloprid exposure on native bumblebee colonies across Great Plains. Results indicate a 36% decline in colony health metrics over the study period. A meta-analysis of 254 studies spanning 6 years demonstrates that organophosphate negatively affects native bumblebee foraging behavior and navigation abilities.,0
862602d37ffffff,2022,5,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Residues of organophosphate found in pollen samples correlate with increased mortality in native bumblebee. Lethal dose thresholds were exceeded in 22% of tested fields. Field trials in Eastern Seaboard show that integrated pest management reduces Bombus impatiens mortality by 47% compared to conventional glyphosate application schedules. Urban gardens in Eastern Seaboard provide crucial refuge for Bombus impatiens amidst surrounding agricultural monocultures. Species richness was 269x higher in garden plots. Field trials in Great Plains show that integrated pest management reduces Bombus impatiens mortality by 53% compared to conventional organophosphate application schedules. Residues of thiamethoxam found in pollen samples correlate with increased mortality in Megachile rotundata. Lethal dose thresholds were exceeded in 23% of tested fields. Long-term monitoring of Megachile rotundata populations in Pacific Northwest reveals significant population declines linked to thiamethoxam application rates. We recommend immediate policy intervention.,0
86260330fffffff,2021,10,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Long-term monitoring of native bumblebee populations in Midwest US reveals significant population declines linked to clothianidin application rates. We recommend immediate policy intervention. Field trials in Southern US show that integrated pest management reduces Bombus impatiens mortality by 6% compared to conventional imidacloprid application schedules. Field trials in Central Valley CA show that integrated pest management reduces Bombus terrestris mortality by 63% compared to conventional thiamethoxam application schedules. Residues of imidacloprid found in pollen samples correlate with increased mortality in Osmia lignaria. Lethal dose thresholds were exceeded in 62% of tested fields.,0
862604497ffffff,2020,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Residues of organophosphate found in pollen samples correlate with increased mortality in Bombus terrestris. Lethal dose thresholds were exceeded in 38% of tested fields. Field trials in Southern US show that integrated pest management reduces Bombus terrestris mortality by 58% compared to conventional glyphosate application schedules.,0
8626050afffffff,2023,6,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,Long-term monitoring of native bumblebee populations in Eastern Seaboard reveals significant population declines linked to neonicotinoid application rates. We recommend immediate policy intervention. Urban gardens in Central Valley CA provide crucial refuge for Megachile rotundata amidst surrounding agricultural monocultures. Species richness was 440x higher in garden plots. Habitat fragmentation in Midwest US leads to reduced genetic diversity in native Bombus terrestris populations. We analyzed 325 sampling sites over 11 years. This study evaluates the impact of thiamethoxam exposure on Apis mellifera colonies across Great Plains. Results indicate a 27% decline in colony health metrics over the study period.,0
862605957ffffff,2023,2,1,10,1,0.0,0.0,0.0,0.0,0.0,0.0,"Long-term monitoring of Megachile rotundata populations in Central Valley CA reveals significant population declines linked to organophosphate application rates. We recommend immediate policy intervention. Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Bombus terrestris pollination networks. Mean bloom date advanced by 4 days per decade. Habitat fragmentation in Midwest US leads to reduced genetic diversity in native Megachile rotundata populations. We analyzed 142 sampling sites over 12 years. Climate change shifts the phenology of flowering plants in Eastern Seaboard, disrupting native bumblebee pollination networks. Mean bloom date advanced by 8 days per decade. Urban gardens in Great Plains provide crucial refuge for Osmia lignaria amidst surrounding agricultural monocultures. Species richness was 405x higher in garden plots. A meta-analysis of 280 studies spanning 14 years demonstrates that clothianidin negatively affects native bumblebee foraging behavior and navigation abilities. Urban gardens in Great Plains provide crucial refuge for Bombus impatiens amidst surrounding agricultural monocultures. Species richness was 210x higher in garden plots.",0
862608037ffffff,2020,3,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,"Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Megachile rotundata pollination networks. Mean bloom date advanced by 8 days per decade. A meta-analysis of 309 studies spanning 13 years demonstrates that neonicotinoid negatively affects Osmia lignaria foraging behavior and navigation abilities. Field trials in Eastern Seaboard show that integrated pest management reduces Apis mellifera mortality by 37% compared to conventional thiamethoxam application schedules. Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Osmia lignaria pollination networks. Mean bloom date advanced by 9 days per decade. Climate change shifts the phenology of flowering plants in Southern US, disrupting Apis mellifera pollination networks. Mean bloom date advanced by 4 days per decade. A meta-analysis of 261 studies spanning 15 years demonstrates that clothianidin negatively affects native bumblebee foraging behavior and navigation abilities.",0
862608927ffffff,2022,6,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,Urban gardens in Eastern Seaboard provide crucial refuge for native bumblebee amidst surrounding agricultural monocultures. Species richness was 84x higher in garden plots.,0
8626089a7ffffff,2023,7,1,10,1,0.0,0.0,0.0,0.0,0.0,0.0,"Residues of neonicotinoid found in pollen samples correlate with increased mortality in Osmia lignaria. Lethal dose thresholds were exceeded in 43% of tested fields. Urban gardens in Southern US provide crucial refuge for Apis mellifera amidst surrounding agricultural monocultures. Species richness was 109x higher in garden plots. Field trials in Pacific Northwest show that integrated pest management reduces Osmia lignaria mortality by 60% compared to conventional thiamethoxam application schedules. Habitat fragmentation in Southern US leads to reduced genetic diversity in native Osmia lignaria populations. We analyzed 468 sampling sites over 10 years. Climate change shifts the phenology of flowering plants in Central Valley CA, disrupting Osmia lignaria pollination networks. Mean bloom date advanced by 10 days per decade.",0
862608c2fffffff,2022,8,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Residues of clothianidin found in pollen samples correlate with increased mortality in Bombus terrestris. Lethal dose thresholds were exceeded in 45% of tested fields. Field trials in Midwest US show that integrated pest management reduces Bombus impatiens mortality by 49% compared to conventional neonicotinoid application schedules. Long-term monitoring of Osmia lignaria populations in Eastern Seaboard reveals significant population declines linked to clothianidin application rates. We recommend immediate policy intervention. Habitat fragmentation in Southern US leads to reduced genetic diversity in native native bumblebee populations. We analyzed 271 sampling sites over 19 years.,0
86260941fffffff,2023,12,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,A meta-analysis of 318 studies spanning 7 years demonstrates that imidacloprid negatively affects Osmia lignaria foraging behavior and navigation abilities. Residues of neonicotinoid found in pollen samples correlate with increased mortality in Megachile rotundata. Lethal dose thresholds were exceeded in 9% of tested fields. Habitat fragmentation in Pacific Northwest leads to reduced genetic diversity in native Megachile rotundata populations. We analyzed 343 sampling sites over 13 years. Residues of organophosphate found in pollen samples correlate with increased mortality in native bumblebee. Lethal dose thresholds were exceeded in 36% of tested fields. Residues of imidacloprid found in pollen samples correlate with increased mortality in native bumblebee. Lethal dose thresholds were exceeded in 54% of tested fields.,0
862609807ffffff,2020,9,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,Urban gardens in Central Valley CA provide crucial refuge for Megachile rotundata amidst surrounding agricultural monocultures. Species richness was 339x higher in garden plots. This study evaluates the impact of neonicotinoid exposure on Apis mellifera colonies across Pacific Northwest. Results indicate a 13% decline in colony health metrics over the study period. Urban gardens in Eastern Seaboard provide crucial refuge for Osmia lignaria amidst surrounding agricultural monocultures. Species richness was 248x higher in garden plots.,0
86260a0efffffff,2020,1,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,"A meta-analysis of 95 studies spanning 4 years demonstrates that clothianidin negatively affects native bumblebee foraging behavior and navigation abilities. Residues of clothianidin found in pollen samples correlate with increased mortality in native bumblebee. Lethal dose thresholds were exceeded in 56% of tested fields. Climate change shifts the phenology of flowering plants in Eastern Seaboard, disrupting Megachile rotundata pollination networks. Mean bloom date advanced by 3 days per decade.",0
86260a107ffffff,2021,8,1,10,1,0.0,0.0,0.0,0.0,0.0,0.0,"Urban gardens in Central Valley CA provide crucial refuge for native bumblebee amidst surrounding agricultural monocultures. Species richness was 305x higher in garden plots. This study evaluates the impact of glyphosate exposure on Bombus terrestris colonies across Pacific Northwest. Results indicate a 43% decline in colony health metrics over the study period. A meta-analysis of 52 studies spanning 8 years demonstrates that glyphosate negatively affects native bumblebee foraging behavior and navigation abilities. Habitat fragmentation in Southern US leads to reduced genetic diversity in native Osmia lignaria populations. We analyzed 40 sampling sites over 13 years. Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting native bumblebee pollination networks. Mean bloom date advanced by 2 days per decade.",0
86260abafffffff,2021,4,1,50,1,0.0,0.0,0.0,0.0,0.0,0.0,"A meta-analysis of 203 studies spanning 9 years demonstrates that glyphosate negatively affects Megachile rotundata foraging behavior and navigation abilities. Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Apis mellifera pollination networks. Mean bloom date advanced by 9 days per decade.",0
86260b2cfffffff,2020,5,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,"Urban gardens in Great Plains provide crucial refuge for Bombus terrestris amidst surrounding agricultural monocultures. Species richness was 274x higher in garden plots. This study evaluates the impact of organophosphate exposure on native bumblebee colonies across Central Valley CA. Results indicate a 30% decline in colony health metrics over the study period. Long-term monitoring of Bombus impatiens populations in Great Plains reveals significant population declines linked to organophosphate application rates. We recommend immediate policy intervention. Residues of neonicotinoid found in pollen samples correlate with increased mortality in Bombus impatiens. Lethal dose thresholds were exceeded in 5% of tested fields. Climate change shifts the phenology of flowering plants in Southern US, disrupting native bumblebee pollination networks. Mean bloom date advanced by 10 days per decade. A meta-analysis of 89 studies spanning 8 years demonstrates that neonicotinoid negatively affects Apis mellifera foraging behavior and navigation abilities.",0
86260b31fffffff,2022,2,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,Field trials in Midwest US show that integrated pest management reduces Bombus impatiens mortality by 40% compared to conventional neonicotinoid application schedules. This study evaluates the impact of clothianidin exposure on Megachile rotundata colonies across Great Plains. Results indicate a 53% decline in colony health metrics over the study period. Field trials in Midwest US show that integrated pest management reduces Bombus impatiens mortality by 34% compared to conventional organophosphate application schedules. Residues of thiamethoxam found in pollen samples correlate with increased mortality in Bombus impatiens. Lethal dose thresholds were exceeded in 58% of tested fields. Field trials in Eastern Seaboard show that integrated pest management reduces native bumblebee mortality by 29% compared to conventional organophosphate application schedules.,0
86260b457ffffff,2022,12,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Long-term monitoring of Osmia lignaria populations in Eastern Seaboard reveals significant population declines linked to thiamethoxam application rates. We recommend immediate policy intervention. Urban gardens in Great Plains provide crucial refuge for Bombus terrestris amidst surrounding agricultural monocultures. Species richness was 406x higher in garden plots. Residues of glyphosate found in pollen samples correlate with increased mortality in Osmia lignaria. Lethal dose thresholds were exceeded in 52% of tested fields. Habitat fragmentation in Pacific Northwest leads to reduced genetic diversity in native Bombus impatiens populations. We analyzed 367 sampling sites over 16 years.,0
86260c157ffffff,2023,4,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,Long-term monitoring of native bumblebee populations in Southern US reveals significant population declines linked to thiamethoxam application rates. We recommend immediate policy intervention. This study evaluates the impact of neonicotinoid exposure on Bombus impatiens colonies across Central Valley CA. Results indicate a 16% decline in colony health metrics over the study period. This study evaluates the impact of organophosphate exposure on Bombus impatiens colonies across Great Plains. Results indicate a 50% decline in colony health metrics over the study period. This study evaluates the impact of clothianidin exposure on Osmia lignaria colonies across Pacific Northwest. Results indicate a 47% decline in colony health metrics over the study period.,0
86260c7afffffff,2021,10,1,25,1,0.0,0.0,0.0,0.0,0.0,0.0,Long-term monitoring of native bumblebee populations in Midwest US reveals significant population declines linked to clothianidin application rates. We recommend immediate policy intervention. Field trials in Southern US show that integrated pest management reduces Bombus impatiens mortality by 6% compared to conventional imidacloprid application schedules. Field trials in Central Valley CA show that integrated pest management reduces Bombus terrestris mortality by 63% compared to conventional thiamethoxam application schedules. Residues of imidacloprid found in pollen samples correlate with increased mortality in Osmia lignaria. Lethal dose thresholds were exceeded in 62% of tested fields.,0
86260ca2fffffff,2022,4,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
86260ca37ffffff,2023,1,1,10,1,0.0,0.0,0.0,0.0,0.0,0.0,Urban gardens in Great Plains provide crucial refuge for Megachile rotundata amidst surrounding agricultural monocultures. Species richness was 170x higher in garden plots. Urban gardens in Pacific Northwest provide crucial refuge for Bombus terrestris amidst surrounding agricultural monocultures. Species richness was 407x higher in garden plots. Habitat fragmentation in Central Valley CA leads to reduced genetic diversity in native Osmia lignaria populations. We analyzed 154 sampling sites over 17 years.,0
86260d4b7ffffff,2022,4,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
86261232fffffff,2020,8,1,10,1,0.0,0.0,0.0,0.0,0.0,0.0,Residues of clothianidin found in pollen samples correlate with increased mortality in Apis mellifera. Lethal dose thresholds were exceeded in 7% of tested fields. Field trials in Central Valley CA show that integrated pest management reduces Bombus impatiens mortality by 49% compared to conventional imidacloprid application schedules.,0
862612827ffffff,2023,3,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,A meta-analysis of 263 studies spanning 14 years demonstrates that imidacloprid negatively affects Bombus terrestris foraging behavior and navigation abilities. Habitat fragmentation in Great Plains leads to reduced genetic diversity in native Bombus terrestris populations. We analyzed 22 sampling sites over 7 years. Habitat fragmentation in Southern US leads to reduced genetic diversity in native Osmia lignaria populations. We analyzed 253 sampling sites over 15 years.,0
86261354fffffff,2023,7,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,"Residues of neonicotinoid found in pollen samples correlate with increased mortality in Osmia lignaria. Lethal dose thresholds were exceeded in 43% of tested fields. Urban gardens in Southern US provide crucial refuge for Apis mellifera amidst surrounding agricultural monocultures. Species richness was 109x higher in garden plots. Field trials in Pacific Northwest show that integrated pest management reduces Osmia lignaria mortality by 60% compared to conventional thiamethoxam application schedules. Habitat fragmentation in Southern US leads to reduced genetic diversity in native Osmia lignaria populations. We analyzed 468 sampling sites over 10 years. Climate change shifts the phenology of flowering plants in Central Valley CA, disrupting Osmia lignaria pollination networks. Mean bloom date advanced by 10 days per decade.",0
8626140afffffff,2020,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,"A meta-analysis of 95 studies spanning 4 years demonstrates that clothianidin negatively affects native bumblebee foraging behavior and navigation abilities. Residues of clothianidin found in pollen samples correlate with increased mortality in native bumblebee. Lethal dose thresholds were exceeded in 56% of tested fields. Climate change shifts the phenology of flowering plants in Eastern Seaboard, disrupting Megachile rotundata pollination networks. Mean bloom date advanced by 3 days per decade.",0
8626147afffffff,2022,7,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,A meta-analysis of 364 studies spanning 13 years demonstrates that glyphosate negatively affects Bombus impatiens foraging behavior and navigation abilities. Residues of neonicotinoid found in pollen samples correlate with increased mortality in native bumblebee. Lethal dose thresholds were exceeded in 33% of tested fields. Habitat fragmentation in Eastern Seaboard leads to reduced genetic diversity in native Bombus impatiens populations. We analyzed 187 sampling sites over 9 years. This study evaluates the impact of organophosphate exposure on Bombus impatiens colonies across Southern US. Results indicate a 18% decline in colony health metrics over the study period.,0
862614b6fffffff,2021,12,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,Field trials in Pacific Northwest show that integrated pest management reduces native bumblebee mortality by 52% compared to conventional thiamethoxam application schedules. Residues of neonicotinoid found in pollen samples correlate with increased mortality in Osmia lignaria. Lethal dose thresholds were exceeded in 57% of tested fields. This study evaluates the impact of neonicotinoid exposure on Megachile rotundata colonies across Pacific Northwest. Results indicate a 55% decline in colony health metrics over the study period.,0
862615047ffffff,2021,8,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,"Urban gardens in Central Valley CA provide crucial refuge for native bumblebee amidst surrounding agricultural monocultures. Species richness was 305x higher in garden plots. This study evaluates the impact of glyphosate exposure on Bombus terrestris colonies across Pacific Northwest. Results indicate a 43% decline in colony health metrics over the study period. A meta-analysis of 52 studies spanning 8 years demonstrates that glyphosate negatively affects native bumblebee foraging behavior and navigation abilities. Habitat fragmentation in Southern US leads to reduced genetic diversity in native Osmia lignaria populations. We analyzed 40 sampling sites over 13 years. Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting native bumblebee pollination networks. Mean bloom date advanced by 2 days per decade.",0
8626159b7ffffff,2021,7,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,"Climate change shifts the phenology of flowering plants in Southern US, disrupting Bombus impatiens pollination networks. Mean bloom date advanced by 7 days per decade. Climate change shifts the phenology of flowering plants in Midwest US, disrupting Bombus impatiens pollination networks. Mean bloom date advanced by 11 days per decade. Residues of thiamethoxam found in pollen samples correlate with increased mortality in Bombus impatiens. Lethal dose thresholds were exceeded in 44% of tested fields.",0
86261630fffffff,2021,1,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,"Climate change shifts the phenology of flowering plants in Midwest US, disrupting Bombus terrestris pollination networks. Mean bloom date advanced by 11 days per decade. Residues of organophosphate found in pollen samples correlate with increased mortality in Osmia lignaria. Lethal dose thresholds were exceeded in 41% of tested fields. This study evaluates the impact of neonicotinoid exposure on Bombus terrestris colonies across Eastern Seaboard. Results indicate a 20% decline in colony health metrics over the study period. Residues of glyphosate found in pollen samples correlate with increased mortality in Bombus terrestris. Lethal dose thresholds were exceeded in 5% of tested fields. Urban gardens in Central Valley CA provide crucial refuge for Apis mellifera amidst surrounding agricultural monocultures. Species richness was 280x higher in garden plots.",0
862616d57ffffff,2023,8,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,"A meta-analysis of 137 studies spanning 17 years demonstrates that neonicotinoid negatively affects Osmia lignaria foraging behavior and navigation abilities. Climate change shifts the phenology of flowering plants in Great Plains, disrupting Megachile rotundata pollination networks. Mean bloom date advanced by 10 days per decade. Field trials in Midwest US show that integrated pest management reduces Megachile rotundata mortality by 56% compared to conventional clothianidin application schedules. This study evaluates the impact of imidacloprid exposure on Megachile rotundata colonies across Midwest US. Results indicate a 40% decline in colony health metrics over the study period.",0
862616dafffffff,2022,9,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,Long-term monitoring of Osmia lignaria populations in Midwest US reveals significant population declines linked to thiamethoxam application rates. We recommend immediate policy intervention.,0
86261832fffffff,2020,8,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,Residues of clothianidin found in pollen samples correlate with increased mortality in Apis mellifera. Lethal dose thresholds were exceeded in 7% of tested fields. Field trials in Central Valley CA show that integrated pest management reduces Bombus impatiens mortality by 49% compared to conventional imidacloprid application schedules.,0
862618907ffffff,2021,8,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,"Urban gardens in Central Valley CA provide crucial refuge for native bumblebee amidst surrounding agricultural monocultures. Species richness was 305x higher in garden plots. This study evaluates the impact of glyphosate exposure on Bombus terrestris colonies across Pacific Northwest. Results indicate a 43% decline in colony health metrics over the study period. A meta-analysis of 52 studies spanning 8 years demonstrates that glyphosate negatively affects native bumblebee foraging behavior and navigation abilities. Habitat fragmentation in Southern US leads to reduced genetic diversity in native Osmia lignaria populations. We analyzed 40 sampling sites over 13 years. Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting native bumblebee pollination networks. Mean bloom date advanced by 2 days per decade.",0
86261a4efffffff,2023,6,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,Long-term monitoring of native bumblebee populations in Eastern Seaboard reveals significant population declines linked to neonicotinoid application rates. We recommend immediate policy intervention. Urban gardens in Central Valley CA provide crucial refuge for Megachile rotundata amidst surrounding agricultural monocultures. Species richness was 440x higher in garden plots. Habitat fragmentation in Midwest US leads to reduced genetic diversity in native Bombus terrestris populations. We analyzed 325 sampling sites over 11 years. This study evaluates the impact of thiamethoxam exposure on Apis mellifera colonies across Great Plains. Results indicate a 27% decline in colony health metrics over the study period.,0
86261ab57ffffff,2021,6,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,This study evaluates the impact of clothianidin exposure on Osmia lignaria colonies across Central Valley CA. Results indicate a 28% decline in colony health metrics over the study period.,0
86261b78fffffff,2022,3,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,"Climate change shifts the phenology of flowering plants in Pacific Northwest, disrupting Osmia lignaria pollination networks. Mean bloom date advanced by 10 days per decade. A meta-analysis of 384 studies spanning 12 years demonstrates that organophosphate negatively affects native bumblebee foraging behavior and navigation abilities.",0
86261b98fffffff,2023,9,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,This study evaluates the impact of clothianidin exposure on Bombus impatiens colonies across Midwest US. Results indicate a 20% decline in colony health metrics over the study period. Field trials in Midwest US show that integrated pest management reduces Apis mellifera mortality by 21% compared to conventional organophosphate application schedules. Field trials in Southern US show that integrated pest management reduces Bombus terrestris mortality by 35% compared to conventional organophosphate application schedules.,0
